2,Sinopec Group,sinopec.com,,"Beijing, China",Energy,,446811,5177,897488
8,Volkswagen,volkswagen.com,,"Wolfsburg, Germany",Motor Vehicles & Parts,,268566,14571,592586
137,U.S. Postal Service,usps.com,,"Washington, DC",Transportation,,67830,-5508,553089
418,Compass Group,compass.com,,"Chertsey, Britain","Hotels, Resturants & Leisure",,28247,1432,514718
26,Gazprom,gazprom.com,,"Moscow, Russia",Energy,,144408,4124,459600
282,Jardine Matheson,jardine.com,,"Hong Kong, China",Retailing,,39921,1710,430000
485,Sodexo,sodexo.com,,"Issy-les-Moulineaux, France","Hotels, Resturants & Leisure",,24512,666,419317
62,Tesco,tesco.com,,"Cheshunt, Britain",Food & Drug Stores,,101580,-9321,386086
64,Carrefour,carrefour.com,,"Boulogne-Billancourt, France",Food & Drug Stores,,101238,1656,381227
63,Siemens,siemens.com,,"Munich, Germany",Industrials,,101560,7288,357000
9,Toyota Motor,toyota.com,,"Toyota, Japan",Motor Vehicles & Parts,,247702,19766,344109
148,Finatis,finatis.com,,"Paris, France",Food & Drug Stores,,65222,-10,340060
70,Nestlé,nestle.com,,"Vevey, Switzerland","Food, Beverages & Tobacco",,100115,15797,339000
314,Edeka Zentrale,edeka.com,,"Hamburg, Germany",Wholesalers,,37337,329,336100
89,Hitachi,hitachi.com,,"Tokyo, Japan",Industrials,,88786,2194,333150
129,Groupe Auchan,auchan.com,,"Croix, France",Food & Drug Stores,,70908,761,330680
177,Sberbank,sberbank.com,,"Moscow, Russia",Financials,,56185,7579,329566
19,EXOR Group,exor.com,,"Turin, Italy",Motor Vehicles & Parts,,162163,428,318562
13,Samsung Electronics,samsung.com,,"Suwon, South Korea",Technology,,195845,21922,307000
374,Accenture,accenture.com,,"Dublin, Ireland",Technology,,31875,2941,305000
150,Bosch,bosch.com,,"Stuttgart, Germany",Motor Vehicles & Parts,,64961,3196,290183
336,Hutchison Whampoa,hutchison.com,,"Hong Kong, China",Retailing,,35097,8660,280000
17,Daimler,daimler.com,,"Stuttgart, Germany",Motor Vehicles & Parts,,172279,9235,279972
81,HSBC Holdings,hsbc.com,,"London, Britain",Financials,,94431,13688,264767
131,Panasonic,panasonic.co.jp,,"Osaka, Japan",Technology,,70169,1632,254084
147,AEON,aeon.com,,"Chiba, Japan",Retailing,,65273,387,249966
51,Rosneft Oil,rosneft.com,,"Moscow, Russia",Energy,,113663,9026,249000
322,SNCF,sncf.com,,"St. Denis, France",Transportation,,36138,802,245763
65,Nippon Tel. & Tel.,ntt.com,,"Tokyo, Japan",Telecommunications,,100913,4711,241600
461,Sumitomo Electric Industries,sumitomo.com,,"Osaka, Japan",Industrials,,25674,1089,240798
364,Henan Energy & Chemical,henan.com,,"Zhengzhou, China",Energy,,33163,-419,239625
97,Metro,metro.com,,"Düsseldorf, Germany",Food & Drug Stores,,85505,172,227868
80,Bank of America Corp.,bofa.com,,"Charlotte, NC",Financials,,95181,4833,223715
108,ArcelorMittal,arcelormittal.com,,"Luxembourg, Luxembourg",Materials,,79282,-1086,222327
264,Shanxi Coking Coal Group,sxcc.com.cn,,"Taiyuan, China",Energy,,41829,67,222137
451,Ansteel Group,ansteel.com,,"Anshan, China",Materials,,26212,-1297,218900
202,JBS,jbs.com,,"São Paulo, Brazil","Food, Beverages & Tobacco",,51176,864,216693
387,Fresenius,fresenius.com,,"Bad Homburg, Germany",Health Care,,30816,1415,216275
196,Shenhua Group,shenhua.com,,"Beijing, China",Energy,,52731,4376,212233
373,Shandong Energy Group,snjt.com,,"Jinan , China",Energy,,32551,-170,208829
44,Honda Motor,honda.com,,"Tokyo, Japan",Motor Vehicles & Parts,,121221,4633,204730
171,Wesfarmers,wesfarmers.com.au,,"Perth, Australia",Food & Drug Stores,,57221,2467,203000
157,Toshiba,toshiba.com,,"Tokyo, Japan",Industrials,,63175,-,198741
181,Woolworths,woolworths.com.au,,"Bella Vista, Australia",Food & Drug Stores,,55940,2250,198000
109,Dongfeng Motor Group,dongfeng.com,,"Wuhan, China",Motor Vehicles & Parts,,78978,1600,197192
277,HCA Holdings,hca.com,,"Nashville, TN",Health Care,,40087,1875,197000
355,Pegatron,pegatron.com,,"Taipei, Taiwan",Technology,,33652,483,196251
287,Weston,weston.com,,"Toronto, Ontario, Canada",Food & Drug Stores,,39769,114,195000
490,Onex,onex.com,,"Toronto, Ontario, Canada",Technology,,24219,-115,192000
334,Canon,canon.jp,,"Tokyo, Japan",Technology,,35215,2407,191889
128,Peugeot,peugeot.com,,"Paris, France",Motor Vehicles & Parts,,71111,-936,189786
233,Continental,continental-corporation.com,,"Hanover, Germany",Motor Vehicles & Parts,,45772,3150,189168
67,Banco Santander,santander.com,,"Madrid, Spain",Financials,,100706,7715,185405
200,Vinci,vinci.fr,,"Rueil-Malmaison, France",Engineering & Construction,,51992,3297,185293
192,Saint-Gobain,saint-gobain.com,,"Courbevoie, France",Materials,,54459,1264,181742
42,BNP Paribas,bnp.com,,"Paris, France",Financials,,124333,208,179603
186,CITIC Group,citic.com,,"Beijing, China",Financials,,55325,4715,179288
30,CVS Health,cvs.com,,"Woonsocket, RI",Food & Drug Stores,,139367,4644,177800
153,Unilever,unilever.com,,"London, Britain/Netherlands","Food, Beverages & Tobacco",,64251,6859,173000
35,UnitedHealth Group,unitedhealth.com,,"Minnetonka, MN",Health Care,,130474,5619,170000
228,Huawei Investment & Holding,huawei.com,,"Shenzhen, China",Technology,,46774,4520,170000
245,Johnson Controls,johnson.com,,"Milwaukee, WI",Motor Vehicles & Parts,,43855,1215,168000
367,Schneider Electric,schneider.com,,"Rueil-Malmaison, France",Industrials,,33082,2574,167124
341,Datong Coal Mine Group,datong.com,,"Datong, China",Energy,,34704,-452,167030
179,ThyssenKrupp,thyssenkrupp.com,,"Essen, Germany",Materials,,56027,284,160745
376,Veolia Environnement,veolia.com,,"Paris, France",Energy,,31831,326,160180
251,Fujitsu,fujitsu.com,,"Tokyo, Japan",Technology,,43231,1273,158846
199,Orange,orange.com,,"Paris, France",Telecommunications,,52325,1227,156233
409,Yangquan Coal Industry Group,yangquan.com,,"Yangquan, China",Energy,,29397,-10,155566
226,Anheuser-Busch InBev,anheuser-busch.com,,"Leuven, Belgium","Food, Beverages & Tobacco",,47063,9216,154029
49,Societe Generale,socgen.com,,"Paris, France",Financials,,118232,3571,153836
39,PDVSA,pdvsa.com,,"Caracas, Venezuela",Energy,,128439,7386,152072
453,Flextronics International,flextronics.com,,"Singapore, Singapore",Technology,,26147,600,150000
59,Nissan Motor,nissan.com,,"Yokohama, Japan",Motor Vehicles & Parts,,103459,4161,149388
315,Jizhong Energy Group,jznyjt.com,,"Xingtai, China",Energy,,37201,-351,147970
32,Allianz,grupoacs.com,,"Munich, Germany",Financials,,136846,8252,147425
293,Denso,denso.com,,"Kariya, Japan",Motor Vehicles & Parts,,39198,2350,146714
379,Shanxi Jincheng Anthracite Coal Mining,jamg.cn,,"Jincheng, China",Energy,,31504,102,145646
47,Pemex,pemex.com,,"Mexico City, Mexico",Energy,,119238,-19929,144927
340,Bridgestone,bridgestone.com,,"Tokyo, Japan",Motor Vehicles & Parts,,34711,2840,144632
224,China Huaneng Group,chng.com.cn,,"Beijing, China",Energy,,47401,423,142260
380,Shaanxi Yanchang Petroleum,sxycpc.com,,"Xi'an, China",Energy,,31391,1085,141085
284,ABB,abb.com,,"Zurich, Switzerland",Industrials,,39830,2594,140400
402,Shougang Group,shougang.com,,"Beijing, China",Materials,,29668,3,139422
106,Airbus Group,airbus.com,,"Leiden, Netherlands",Aerospace & Defense,,80537,3108,138622
218,Baosteel Group,baosteel.com,,"Shanghai, China",Materials,,48323,952,136616
167,Novartis,novartis.com,,"Basel, Switzerland",Health Care,,59593,10210,133413
195,Barclays,barclays.com,,"London, Britain",Financials,,53850,-286,132300
239,HeBei Iron & Steel Group,hbisco.com,,"Shijiazhuang, China",Materials,,45543,-186,132146
116,Sony,sony.com,,"Tokyo, Japan",Technology,,74724,-1145,131700
318,Magna International,magna.com,,"Aurora, Ontario, Canada",Motor Vehicles & Parts,,36641,1882,131225
291,Mitsubishi Electric,mitsubishi.com,,"Tokyo, Japan",Industrials,,39318,2134,129249
246,UniCredit Group,unicredit.com,,"Milan, Italy",Financials,,43810,2663,129021
244,Bouygues,bouygues.com,,"Paris, France",Engineering & Construction,,44100,1070,127470
248,Royal Ahold,aholddelhaize.com,,"Zaandam, Netherlands",Food & Drug Stores,,43514,788,126000
201,Mitsubishi UFJ Financial Group,mufg.jp,,"Tokyo, Japan",Financials,,51282,9402,125739
140,Telefonica,telefonica.com,,"Madrid, Spain",Telecommunications,,66826,3980,123700
234,Shandong Weiqiao Pioneering,weiqiaocy.com,,"Shandong, China",Apparel,,45757,1150,123517
288,Sinomach,sinomach.com,,"Beijing, China",Industrials,,39722,-288,120771
272,COFCO,cofco.com,,"Beijing, China",Wholesalers,,40524,123,120674
389,Quanta Computer,quanta.com,,"Taoyuan, Taiwan",Technology,,30569,623,120370
215,Schlumberger,schlumberger.com,,"Houston, TX",Energy,,48580,5438,120000
208,A.P. Moller-Maersk A/S,maersk.com,,"Copenhagen, Denmark",Transportation,,50337,5015,119207
178,Bayer,bayer.com,,"Leverkusen, Germany",Chemicals,,56031,4544,118888
285,Lufthansa Group,lufthansa.com,,"Cologne, Germany",Transportation,,39810,73,118781
363,Ericsson,ericsson.com,,"Stockholm, Sweden",Technology,,33220,1685,118443
382,Jinneng Group,jinneng.com,,"Taiyuan , China",Energy,,31317,-2,118171
191,Renault,renault.com,,"Boulogne-Billancourt, France",Motor Vehicles & Parts,,54460,2507,117395
56,BMW,bmw.com,,"Munich, Germany",Motor Vehicles & Parts,,106654,7691,116324
72,China National Offshore Oil,cnooc.com.cn,,"Beijing, China",Energy,,99262,8592,114573
407,Delhaize Group,delhaize.com,,"Brussels, Belgium",Food & Drug Stores,,29482,118,114373
241,Sanofi,sanofi.com,,"Paris, France",Health Care,,45246,5823,113496
76,BASF,basf.com,,"Ludwigshafen, Germany",Chemicals,,98595,6838,113292
165,China Communications Construction,ccccltd.cn,,"Beijing, China",Engineering & Construction,,60119,1467,113189
464,HNA Group,hna.com,,"Haikou City, China",Transportation,,25646,206,113089
126,Banco do Brasil,bb.com.br,,"Bras'lia, Brazil",Financials,,71184,5035,111628
206,Itochu,itochu.com,,"Osaka, Japan",Wholesalers,,50855,2733,110487
43,Lukoil,lukoil.com,,"Moscow, Russia",Energy,,122803,4746,110300
